event_id,session_id,user_id,event_name,experiment_group,event_timestamp
EVT_000001,SES_000001,USR_000001,flight_search,Variant,2026-01-19 03:54:42
EVT_000002,SES_000001,USR_000001,flight_selected,Variant,2026-01-19 04:04:42
EVT_000003,SES_000001,USR_000001,hotel_cross_sell_viewed,Variant,2026-01-19 04:06:42
EVT_000004,SES_000001,USR_000001,hotel_cross_sell_added,Variant,2026-01-19 04:14:42
EVT_000005,SES_000001,USR_000001,flight_booking_completed,Variant,2026-01-19 04:26:42
EVT_000006,SES_000002,USR_000001,flight_search,Control,2026-01-18 08:33:19
EVT_000007,SES_000002,USR_000001,flight_selected,Control,2026-01-18 08:36:19
EVT_000008,SES_000002,USR_000001,hotel_cross_sell_viewed,Control,2026-01-18 08:41:19
EVT_000009,SES_000002,USR_000001,hotel_cross_sell_added,Control,2026-01-18 08:47:19
EVT_000010,SES_000002,USR_000001,flight_booking_completed,Control,2026-01-18 09:02:19
EVT_000011,SES_000003,USR_000002,flight_search,Control,2026-06-01 11:17:06
EVT_000012,SES_000004,USR_000002,flight_search,Control,2026-05-15 03:45:02
EVT_000013,SES_000005,USR_000002,flight_search,Control,2026-05-21 09:50:37
EVT_000014,SES_000005,USR_000002,flight_selected,Control,2026-05-21 09:54:37
EVT_000015,SES_000005,USR_000002,hotel_cross_sell_viewed,Control,2026-05-21 09:59:37
EVT_000016,SES_000005,USR_000002,hotel_cross_sell_added,Control,2026-05-21 10:03:37
EVT_000017,SES_000006,USR_000003,flight_search,Variant,2026-06-23 15:42:48
EVT_000018,SES_000006,USR_000003,flight_selected,Variant,2026-06-23 15:54:48
EVT_000019,SES_000006,USR_000003,hotel_cross_sell_viewed,Variant,2026-06-23 15:59:48
EVT_000020,SES_000006,USR_000003,hotel_cross_sell_added,Variant,2026-06-23 16:02:48
EVT_000021,SES_000006,USR_000003,flight_booking_completed,Variant,2026-06-23 16:10:48
EVT_000022,SES_000007,USR_000004,flight_search,Variant,2026-02-26 06:51:13
EVT_000023,SES_000007,USR_000004,flight_selected,Variant,2026-02-26 06:54:13
EVT_000024,SES_000007,USR_000004,hotel_cross_sell_viewed,Variant,2026-02-26 06:56:13
EVT_000025,SES_000007,USR_000004,flight_booking_completed,Variant,2026-02-26 07:16:13
EVT_000026,SES_000008,USR_000004,flight_search,Control,2026-04-12 09:43:53
EVT_000027,SES_000008,USR_000004,flight_selected,Control,2026-04-12 09:58:53
EVT_000028,SES_000008,USR_000004,hotel_cross_sell_viewed,Control,2026-04-12 10:03:53
EVT_000029,SES_000008,USR_000004,flight_booking_completed,Control,2026-04-12 10:20:53
EVT_000030,SES_000009,USR_000005,flight_search,Control,2026-04-01 17:50:07
EVT_000031,SES_000009,USR_000005,flight_selected,Control,2026-04-01 17:52:07
EVT_000032,SES_000009,USR_000005,hotel_cross_sell_viewed,Control,2026-04-01 17:55:07
EVT_000033,SES_000009,USR_000005,flight_booking_completed,Control,2026-04-01 18:10:07
EVT_000034,SES_000010,USR_000005,flight_search,Variant,2026-05-21 13:36:53
EVT_000035,SES_000010,USR_000005,flight_selected,Variant,2026-05-21 13:44:53
EVT_000036,SES_000010,USR_000005,hotel_cross_sell_viewed,Variant,2026-05-21 13:45:53
EVT_000037,SES_000010,USR_000005,flight_booking_completed,Variant,2026-05-21 13:58:53
EVT_000038,SES_000011,USR_000006,flight_search,Control,2026-03-13 18:18:13
EVT_000039,SES_000011,USR_000006,flight_selected,Control,2026-03-13 18:33:13
EVT_000040,SES_000011,USR_000006,hotel_cross_sell_viewed,Control,2026-03-13 18:38:13
EVT_000041,SES_000011,USR_000006,hotel_cross_sell_added,Control,2026-03-13 18:39:13
EVT_000042,SES_000011,USR_000006,flight_booking_completed,Control,2026-03-13 18:59:13
EVT_000043,SES_000012,USR_000006,flight_search,Control,2026-02-10 08:57:40
EVT_000044,SES_000012,USR_000006,flight_selected,Control,2026-02-10 09:12:40
EVT_000045,SES_000012,USR_000006,hotel_cross_sell_viewed,Control,2026-02-10 09:16:40
EVT_000046,SES_000012,USR_000006,flight_booking_completed,Control,2026-02-10 09:21:40
EVT_000047,SES_000013,USR_000006,flight_search,Control,2026-06-01 04:36:11
EVT_000048,SES_000013,USR_000006,flight_selected,Control,2026-06-01 04:38:11
EVT_000049,SES_000013,USR_000006,hotel_cross_sell_viewed,Control,2026-06-01 04:39:11
EVT_000050,SES_000014,USR_000006,flight_search,Control,2026-02-19 02:12:13
EVT_000051,SES_000015,USR_000007,flight_search,Control,2026-05-24 09:41:18
EVT_000052,SES_000015,USR_000007,flight_selected,Control,2026-05-24 09:54:18
